2,2,"[4,4]","[200, 250]","[100, 200]",100,5000
3,3,"[5,4,5]","[300, 300, 350]","[200, 200, 140]",100,5000
3,4,"[5,5,3,5]","[300, 200, 350]","[200, 200, 140]",100,5000
5,5,"[6,6,5,6,6]","[300, 200, 350, 300, 180]","[200, 200, 140, 180, 300]",100000,5000
7,7,"[5,6,7,8,9,10,5]","[300, 300, 200, 350, 300, 120, 280]","[200, 280, 190, 300, 250, 350, 280]",100,5000
10,10,"[5,6,7,8,9,10,5,5,5,5]","[300, 300, 200, 350, 300, 120, 280, 300, 240, 340]","[200, 280, 190, 300, 250, 350, 280, 280, 290, 300]",100,5000
10,11,"[5, 6, 5, 8, 6, 10, 5, 5, 5, 5, 5]","[300, 300, 200, 350, 300, 120, 280, 280]","[200, 280, 190, 300, 250, 350, 280, 280, 290, 300, 310]",100,5000
10,10,"[5, 6, 7, 7, 9, 10, 5, 5, 8, 5]","[300, 300, 200, 350, 300, 120, 280]","[200, 280, 190, 300, 250, 350, 280, 280, 290, 300]",100,5000
15,15,"[5, 6, 7, 8, 9, 8, 5, 5, 6, 5, 7, 5, 8, 5, 5]","[300, 300, 200, 350, 300, 120, 280, 300, 240, 340, 300, 300, 300, 300, 300]","[200, 280, 190, 300, 250, 350, 280, 280, 290, 300, 300, 300, 300, 280, 280]",100,5000
15,15,"[5, 6, 7, 8, 9, 8, 5, 6, 5, 5, 6, 6, 6, 6, 6]","[300, 300, 200, 350, 300, 120, 280, 300, 240, 340, 300, 300, 300, 300, 300]","[200, 280, 190, 300, 250, 350, 280, 280, 290, 300, 300, 300, 300, 280, 280]",100,5000
15,16,"[5,6,7,8,9,10,5,5,5,5,5,5,5,5,5,8]","[300, 300, 200, 350, 300, 120, 280, 300, 240, 340, 300, 300, 300, 300, 300, 420]","[200, 280, 190, 300, 250, 350, 280, 280, 290, 300, 300, 300, 300, 280, 280, 280]",100,5000
15,15,"[5,6,7,8,9,10,5,5,5,5,6,6,6,6,6]","[300, 300, 200, 350, 300, 120, 280, 300, 240, 340, 290, 290, 280, 300, 300]","[200, 280, 190, 300, 250, 350, 280, 280, 290, 300, 280, 290, 290, 300, 300]",100,5000
20,20,"[5,6,7,8,9,10,5,5,5,5,6,6,6,6,6,6,6,6,6,6]","[300, 300, 200, 350, 300, 120, 280, 300, 240, 340, 290, 290, 280, 300, 300, 290, 300, 280, 300, 300]","[200, 280, 190, 300, 250, 350, 280, 280, 290, 300, 280, 290, 290, 300, 300, 300, 300, 300, 300, 300]",100,5000
20,20,"[5,6,7,8,9,10,5,5,5,5,6,6,6,6,6,6,6,6,6,6]","[300, 300, 200, 350, 300, 120, 280, 300, 240, 340, 290, 290, 280, 300, 300, 300, 300, 300, 300, 300]","[200, 280, 190, 300, 250, 350, 280, 280, 290, 300, 280, 290, 290, 300, 300, 300, 300, 300, 300, 300]",100,5000
